,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2,types
11,ChIJzcaAHQqkGBURmP7bFcgAksM,The Canadian Academy of Baalbeck,,34.001378,36.1753959,+961 76 912 162,,https://maps.google.com/?cid=14092327043355901592,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"school, point_of_interest, establishment"
12,ChIJ5T5nK0mhGBURoKxz6RNpt8U,Modern international School-MIS,,34.0277543,36.18451,+961 8 379 111,,https://maps.google.com/?cid=14246971480451820704,Lebanon,Baalbek-Hermel Governorate,Baalbek,"school, point_of_interest, establishment"
15,ChIJj62REETNGBURmusQZ1Bw9-g,Haratch C. Gulbenkian Sec. School,,33.7238313,35.9306472,+961 8 620 616,http://cgulbenkian.com/,https://maps.google.com/?cid=16787009626675669914,Lebanon,محافظة البقاع,زحلة,"school, point_of_interest, establishment"
0,ChIJq4N5xTgzHxUR89-j_IQEgFs,Al Amal Center Bar Elias,,33.7769941,35.8995763,,http://www.multiaidprograms.org/,https://maps.google.com/?cid=6593274823691198451,Lebanon,Beqaa Governorate,Zahlé,"school, point_of_interest, establishment"
4,ChIJVSrlu8E0HxURwPkpwRY1SqU,National American School - NAS,,33.82180470000001,35.8948961,+961 8 819 555,http://www.naszahleh.school/,https://maps.google.com/?cid=11910390536381004224,Lebanon,Beqaa Governorate,Zahlé,"school, point_of_interest, establishment"
5,ChIJm-8pKJ80HxURLafUaH34KRc,Al mazloum stud 🐴,,33.8055059,35.8906918,+961 3 956 004,,https://maps.google.com/?cid=1669138354430846765,Lebanon,Beqaa Governorate,Zahlé,"school, point_of_interest, establishment"
11,ChIJL8GBwIg0HxURNaSlAi6eApc,Averroes College Taalabaya,,33.81840089999999,35.87303480000001,+961 8 508 111,,https://maps.google.com/?cid=10881433570130633781,Lebanon,Beqaa Governorate,Zahlé,"school, point_of_interest, establishment"
5,ChIJp_NkDzAsHxURtwrlT0nGe7c,OMEC School,,33.6919954,35.8396115,+961 81 311 416,,https://maps.google.com/?cid=13221379149251545783,Lebanon,Beqaa Governorate,West Bekaa,"school, point_of_interest, establishment"
8,ChIJq9RW9wApHxURiEMkPbClsu8,"Jusoor Center, Joub Janinne",,33.6424958,35.7872837,,http://www.jusoorsyria.com/,https://maps.google.com/?cid=17272049697277887368,Lebanon,Beqaa Governorate,West Bekaa,"school, point_of_interest, establishment"
9,ChIJe3GhgvE3HxURsvi7lChurUc,Collège des Sœurs des Saint Cœurs - Mrouj,,33.9119041,35.7488003,+961 4 295 731,http://www.mrouje.sscc.edu.lb/,https://maps.google.com/?cid=5164905468236921010,Lebanon,Mount Lebanon Governorate,Matn,"secondary_school, school, point_of_interest, establishment"
10,ChIJwwOMnnE6HxUROcsYY5nJgjg,مدرسة راهبات الراعي الصالح الثانوية المختلطة حمانا,,33.8286385,35.7322003,+961 5 530 029,,https://maps.google.com/?cid=4072038673726098233,Lebanon,Mount Lebanon Governorate,Baabda,"school, point_of_interest, establishment"
11,ChIJqaryt4coHxURmnxOkEozoW0,Jusoor School,,33.65496199999999,35.750157,,http://www.jusoorsyria.com/,https://maps.google.com/?cid=7899651616726219930,Lebanon,Beqaa Governorate,West Bekaa,"school, point_of_interest, establishment"
13,ChIJ6bJLFRE4HxURzjqnhA_lspA,Dhour Shweir Public Secondary School,,33.9207212,35.7256863,+961 4 392 197,http://www.dspss.com/,https://maps.google.com/?cid=10426647942128941774,Lebanon,Mount Lebanon Governorate,Matn,"secondary_school, school, point_of_interest, establishment"
14,ChIJE5yukbnWHhURjdh9Mpo_KOg,ثانوية الفيصل النموذجية,,33.5272526,35.8108089,+961 70 231 588,https://m.facebook.com/AlFaisalExemplaryHighSchool/,https://maps.google.com/?cid=16728690747372329101,Lebanon,Beqaa Governorate,Rachaiya,"school, point_of_interest, establishment"
15,ChIJzSXhP0E4HxURgiqISGndGrQ,Collège des Sœurs des Saints Cœurs - Dhour Shweir,,33.91453459999999,35.7148234,+961 4 390 073,http://www.choueir.sscc.edu.lb/,https://maps.google.com/?cid=12977928720479693442,Lebanon,Mount Lebanon Governorate,Matn,"secondary_school, school, point_of_interest, establishment"
16,ChIJH0vcj-knHxURpVnHGnNPWjo,The Join Academy,,33.6401983,35.7249626,+961 70 557 421,http://join.co.uk/,https://maps.google.com/?cid=4204760557892884901,Lebanon,Beqaa Governorate,West Bekaa,"school, point_of_interest, establishment"
15,ChIJgW2y0dI1HxURdFMmlqTE54U,مدرسة حي العمرية الرسمية / Omareyya Elementray Public School,,33.8048356,35.9063638,+961 8 511 585,https://omareyya-elementray-public-school.business.site/?utm_source=gmb&utm_medium=referral,https://maps.google.com/?cid=9648896937837351796,Lebanon,محافظة البقاع,زحلة,"primary_school, school, point_of_interest, establishment"
16,ChIJj1BRXyk1HxURWm65E11L-qc,St. Joseph School,,33.8375877,35.9097358,,,https://maps.google.com/?cid=12104069811646590554,Lebanon,Beqaa Governorate,Zahlé,"primary_school, school, point_of_interest, establishment"
18,ChIJXer3KG0zHxURU5KvDc4bC30,مدرسة الأمين برالياس,,33.7728148,35.8979003,,,https://maps.google.com/?cid=9010326051291632211,Lebanon,Beirut Governorate,Beirut,"primary_school, school, point_of_interest, establishment"
14,ChIJn0GKn8lTHxURwL46ooLU-DI,مدرسة دون بوسكو الابتدائية,,34.0938656,35.8471817,,,https://maps.google.com/?cid=3672919153653235392,Lebanon,Mount Lebanon Governorate,Jbeil,"primary_school, school, point_of_interest, establishment"
6,ChIJE5reu1m3GBURjp9-EE8ydPU,Lebanese Al-Ahd Secondary,,33.8798621,36.0857028,+961 8 335 676,,https://maps.google.com/?cid=17686816951751319438,Lebanon,Beqaa Governorate,Baalbek,"secondary_school, school, point_of_interest, establishment"
10,ChIJ_4gGMuujGBURPOUNy-3hJ10,Al-Bashaer School,,33.990314,36.194566,+961 8 377 767,,https://maps.google.com/?cid=6712582181049197884,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"secondary_school, school, point_of_interest, establishment"
15,ChIJH_a1U662GBURkXlLad5yMVs,NAS High School,,33.90922679999999,36.0109771,+961 8 910 505,,https://maps.google.com/?cid=6571159630885124497,Lebanon,Beqaa Governorate,Baalbek,"secondary_school, school, point_of_interest, establishment"
16,ChIJMWf6TQG1GBURBSk9eXg1s7A,lycee ideal rayak,,33.8634387,35.98387879999999,,,https://maps.google.com/?cid=12732579363052923141,Lebanon,Beqaa Governorate,Zahlé,"secondary_school, school, point_of_interest, establishment"
12,ChIJ9aZZgTgzHxURLKNQf_WdnGk,ثانوية برالياس الرسمية,,33.777855,35.9006295,+961 8 511 815,,https://maps.google.com/?cid=7610131148077835052,Lebanon,Beqaa Governorate,Zahlé,"secondary_school, school, point_of_interest, establishment"
19,ChIJvTVDmT01HxURpF55gL5Q8uU,Collège Oriental,,33.8512893,35.89447870000001,+961 8 803 700,,https://maps.google.com/?cid=16569394758178922148,Lebanon,Beqaa Governorate,Zahlé,"secondary_school, school, point_of_interest, establishment"
1,ChIJ31JGIY-wGBURyWsU1udOjhk,Aub Farm - University,,33.9273828,36.0760162,,,https://maps.google.com/?cid=1841496055277185993,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"university, point_of_interest, establishment"
8,ChIJe4ZXtY-wGBUR-B5o6QkNVOo,AREC - AUB FARM,,33.9247827,36.07571590000001,,,https://maps.google.com/?cid=16885135239140613880,Lebanon,محافظة بعلبك - الهرمل‎,Baalbek,"university, point_of_interest, establishment"
12,ChIJWX_KSuq1GBURwiNkfjbylhM,"Antonine University, Campus of Zahleh - Bekaa",,33.8646676,35.98546770000001,+961 8 902 020,http://www.ua.edu.lb/,https://maps.google.com/?cid=1411581849089876930,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
13,ChIJC41GXto0HxUR59AyX6Wj5h4,Lebanese University Faculty of Letters and Human Sciences,,33.82854,35.9027789,+961 8 806 650,http://ul.edu.lb/,https://maps.google.com/?cid=2226646996443386087,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
16,ChIJSR12sb7KGBURRlSq07uLlIA,"American University of Science and Technology, Zahlé Campus",,33.84976409999999,35.93195029999999,+961 8 930 894,http://www.aust.edu.lb/,https://maps.google.com/?cid=9265183972234253382,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
0,ChIJo3TXFxI1HxURNNDkCexxy6o,USJ - Zahleh,,33.857634,35.883865,+961 8 803 325,http://www.usj.edu.lb/,https://maps.google.com/?cid=12307055665312223284,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
5,ChIJN7mv5JwzHxURW2md69jIH9Y,USJ - ESIAM,,33.7970109,35.8685113,+961 8 543 120,http://www.usj.edu.lb/,https://maps.google.com/?cid=15429271682386061659,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
7,ChIJzU7_oXQ0HxURJZW9KKl9p9w,"Arts, Sciences and Technology University in Lebanon, Chtoura Campus",,33.8189451,35.85112820000001,+961 8 545 430,http://www.aul.edu.lb/,https://maps.google.com/?cid=15899815174941283621,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
10,ChIJr_OcYs_KGBURQ0iu7yvVemo,"Holy Spirit University of Kaslik, Zahle Campus Lebanese Maronite Order",,33.8411876,35.9260166,+961 8 932 132,http://www.usek.edu.lb/,https://maps.google.com/?cid=7672679299860547651,Lebanon,Beqaa Governorate,Zahlé,"university, point_of_interest, establishment"
